#{"t_start": 1734423170.010326, "env_id": "None"}
r,l,t
223.80699,1000,2148.219268
135.66922,1000,2148.219278
75.54998,1000,2148.219288
106.55866,1000,2148.219298
58.491905,1000,2148.219308
127.75904,1000,2148.219318
180.81868,1000,2148.219328
231.99965,1000,2148.219337
51.614017,1000,2148.219347
302.17142,1000,2148.219357
201.94504,1000,2148.219367
113.81346,1000,2148.219377
143.24219,1000,2148.219387
298.08484,1000,2148.219396
214.8792,1000,2148.219406
242.65259,1000,2148.219416
291.14114,1000,2148.219426
284.0556,1000,2148.219436
354.54233,1000,2148.219445
119.66792,1000,2148.219455
110.71559,1000,2148.219465
445.7577,1000,2148.219474
193.90155,1000,2148.219484
290.2403,1000,2148.219493
342.9932,1000,2148.219503
455.55212,1000,2148.219513
211.96283,1000,2148.219523
288.3114,1000,2148.219532
215.06537,1000,2148.219542
262.95786,1000,2148.219551
314.1383,1000,2148.219561
21.622042,1000,2148.219571
206.33762,1000,2148.21958
26.761032,1000,2148.219589
33.10624,1000,2148.219599
405.37103,1000,2148.219609
45.632416,1000,2148.219618
186.19022,1000,2148.219628
349.80927,1000,2148.219638
124.19644,1000,2148.219648
152.63197,1000,2148.219657
27.517668,1000,2148.219667
98.113365,1000,2148.219676
133.60443,1000,2148.219686
-32.86192,1000,2148.219696
474.00342,1000,2148.219706
100.58137,1000,2148.219715
235.40074,1000,2148.219725
244.70514,1000,2148.219735
140.00038,1000,2148.219744
33.82996,1000,2148.219754
174.07396,1000,2148.219763
55.23603,1000,2148.219773
-25.465603,1000,2148.219783
189.71457,1000,2148.219792
66.667915,1000,2148.219801
178.1407,1000,2148.219811
347.17987,1000,2148.219821
134.2641,1000,2148.21983
148.3876,1000,2148.21984
277.63925,1000,2148.219849
-67.91802,262,2292.851583
20.525581,264,2293.928108
-15.078812,270,2297.235291
-66.91615,273,2298.965845
-22.937943,278,2301.754848
-6.3525314,285,2305.599918
10.336342,387,2307.326454
-98.461685,469,2406.859815
-47.11502,497,2422.337222
206.20007,1000,2438.886579
178.9853,1000,2453.25033
185.71246,1000,2477.080283
332.94803,1000,2477.625551
191.07666,678,2522.597384
153.04208,686,2527.079898
-23.11943,698,2533.667137
307.16364,1000,2535.936656
186.85028,1000,2535.936704
78.70739,1000,2582.218935
208.77283,1000,2642.365107
192.09232,1000,2655.672267
85.30414,1000,2660.154847
261.7006,1000,2691.681638
215.61302,1000,2692.234301
240.73608,1000,2701.911664
235.42139,1000,2701.911714
90.93876,1000,2701.911731
164.2123,1000,2701.911743
151.87508,1000,2701.911753
357.2353,1000,2701.911764
214.64133,1000,2701.911773
242.1008,1000,2701.911783
215.98093,1000,2701.911793
16.789404,1000,2701.911803
347.55106,1000,2701.911813
118.638504,1000,2701.911822
226.01749,1000,2701.911832
328.57034,1000,2701.911841
186.73434,1000,2701.911857
41.89263,1000,2701.911867
49.82702,1000,2701.911875
238.58154,1000,2701.911884
168.1946,1000,2701.911892
234.54376,1000,2701.911901
155.5894,1000,2701.911909
303.5716,1000,2701.911917
41.26523,1000,2701.911926
161.32272,1000,2701.911934
380.83408,1000,2701.911943
424.15894,1000,2701.911951
4.295226,1000,2701.911959
302.9285,1000,2701.911968
386.4859,1000,2701.911976
299.26608,1000,2701.911984
257.69006,1000,2701.911993
219.40308,1000,2701.912001
75.00125,1000,2701.912009
241.81764,1000,2701.912017
199.64932,1000,2701.912026
58.41691,1000,2701.912035
168.45424,1000,2701.912043
243.17166,1000,2701.912051
242.1026,1000,2701.91206
211.78256,1000,2701.912068
179.2751,1000,2701.912076
295.34863,1000,2701.912084
262.3672,1000,2701.912092
245.88907,1000,2701.912101
181.85408,1000,2701.912109
73.07812,1000,2701.912117
299.30597,1000,2701.912126
309.3943,1000,2701.912134
450.87622,1000,2701.912142
239.21823,1000,2701.912151
334.47864,1000,2701.912159
429.7982,1000,2701.912168
188.72815,1000,2701.912176
190.62502,1000,2701.912184
254.3026,1000,2701.912192
129.4096,1000,2701.9122
168.45442,1000,2701.912209
253.78928,1000,2701.912217
115.01369,1000,2701.912225
216.29094,1000,2701.912234
173.92299,1000,2701.912242
278.1236,1000,2701.912251
328.5695,1000,2701.912265
315.3335,1000,2701.912274
232.23238,1000,2701.912282
467.16205,1000,2701.912291
377.93994,1000,2701.912299
378.8711,1000,2701.912307
324.56143,1000,2701.912315
341.69162,1000,2701.912324
301.8114,1000,2701.912332
370.40277,1000,2701.91234
271.79233,1000,2701.912349
225.25813,1000,2701.912357
114.282486,1000,2701.912365
64.795135,1000,2701.912373
58.274467,1000,2848.94407
341.93353,1000,2850.03981
50.94458,1000,2853.392131
178.16808,1000,2855.143217
315.89835,1000,2857.953898
243.74644,1000,2861.83394
432.14,1000,2863.576961
451.7192,1000,2964.369548
519.9967,1000,2980.029395
481.99268,1000,2996.917963
391.6899,1000,3011.434379
