#{"t_start": 1734444340.750059, "env_id": "None"}
r,l,t
266.87875,1000,3354.444017
48.87082,298,3355.45332
94.07716,1000,3355.863608
500.74417,1000,3362.169012
7.6398335,1000,3369.976097
356.92444,1000,3373.232993
134.1087,1000,3379.291167
608.67596,1000,3379.85154
-121.12227,417,3396.078354
196.98846,1000,3404.122504
494.30154,1000,3408.057002
469.71707,1000,3409.268954
410.13135,1000,3410.28049
505.5322,1000,3410.674065
390.96194,1000,3417.137871
276.8626,1000,3424.856722
440.73654,1000,3434.111486
451.71994,1000,3434.677389
346.09167,1000,3451.001581
910.80304,892,3457.148264
95.64949,1000,3459.161582
263.63257,1000,3464.403483
317.31824,1000,3465.430485
609.56604,1000,3465.835834
429.582,1000,3472.37902
613.1542,1000,3480.228058
669.23987,1000,3489.655238
346.68158,1000,3490.233485
470.39795,1000,3506.656907
411.10748,1000,3512.832115
232.22116,1000,3514.86892
215.59818,1000,3520.134574
86.85192,1000,3521.169346
242.85434,1000,3521.574578
348.83984,1000,3528.113599
420.5954,1000,3536.123216
889.5565,1000,3545.694864
427.50488,1000,3546.268413
306.55304,1000,3562.914094
172.16632,1000,3569.1588
349.53644,1000,3571.173914
351.48825,1000,3576.317055
233.32846,1000,3577.329231
643.86926,1000,3577.732925
-17.932606,1000,3584.11122
209.34772,1000,3591.834652
174.89526,1000,3601.059656
358.95084,1000,3601.624882
45.215637,1000,3617.719328
-76.35081,1000,3623.778074
-83.55193,1000,3625.777351
-89.72523,1000,3630.877476
-86.11037,1000,3631.875949
-93.17321,1000,3632.269788
-93.54753,1000,3638.605554
-88.72103,1000,3646.391053
-84.37417,1000,3655.82633
-82.75778,1000,3656.404773
186.20679,1000,3672.965383
55.47779,1000,3679.143839
280.0727,1000,3681.171983
251.14316,1000,3686.422942
-28.571592,1000,3687.458555
-90.22718,1000,3687.869669
236.73189,1000,3694.431728
230.40561,1000,3702.437994
-11.183583,1000,3711.948638
12.319838,1000,3712.526588
-67.31988,1000,3729.139588
-45.337067,1000,3735.367803
-76.35081,1000,3737.49965
524.5794,1000,3742.708392
561.9742,1000,3743.734113
371.3759,1000,3744.134091
29.401276,202,3746.763529
14.3921795,1000,3750.576154
230.09312,1000,3758.360892
474.39664,1000,3767.633177
453.95285,1000,3768.197591
-12.772251,1000,3784.178806
87.04822,1000,3792.190106
528.98596,1000,3797.248802
369.7949,1000,3798.243289
271.79056,1000,3798.6325
361.53543,1000,3801.171101
380.17172,1000,3804.879211
710.27344,1000,3812.60843
857.75635,1000,3821.934468
147.96239,1000,3822.504006
861.0023,1000,3838.862516
414.38446,1000,3846.929838
460.54962,1000,3852.110353
500.7418,1000,3853.129486
268.42023,1000,3853.542016
298.46356,1000,3856.239892
223.25827,1000,3860.168261
177.0223,1000,3868.152403
299.99493,1000,3877.777133
231.3208,1000,3878.374318
69.1722,1000,3895.386599
69.43655,1000,3903.873007
6.313208,1000,3909.250954
-18.643583,1000,3910.311217
-17.980587,1000,3910.754531
-64.60131,1000,3913.560541
-57.791763,1000,3917.505637
-25.071354,1000,3925.625306
-94.7139,917,3930.561571
