#{"t_start": 1734382690.4546685, "env_id": "None"}
r,l,t
-91.59389,511,1128.022784
192.3071,1000,1138.582667
-32.72151,1000,1140.975779
-28.792376,1000,1142.356967
334.1594,1000,1142.892787
-31.972553,1000,1153.850437
46.180733,1000,1153.850485
-3.067421,322,1157.705031
-32.88571,1000,1157.823876
631.04144,1000,1160.050324
84.42447,1000,1169.943023
-30.313328,1000,1180.437092
-31.03425,1000,1190.663256
-97.71503,695,1193.881787
-33.08525,1000,1194.368368
382.2657,1000,1194.902379
-72.42444,810,1200.08081
69.34059,935,1202.626855
-39.99976,1000,1206.072497
36.33499,281,1208.786533
269.8586,1000,1212.432487
-1.1978531,296,1218.274885
-40.809742,1000,1222.476556
177.25381,1000,1282.530745
289.50934,1000,1292.863722
-28.825342,1000,1296.609705
166.4535,1000,1297.155544
-39.5017,1000,1302.29038
171.46378,485,1308.205009
-29.292658,1000,1308.428203
440.73605,1000,1311.109045
143.72461,1000,1314.761369
62.162613,1000,1320.625163
227.0391,1000,1324.881957
27.902702,336,1326.011391
-124.37538,857,1342.069739
320.0,1000,1345.90852
-4.9288635,1000,1350.189243
510.2973,1000,1355.41275
-40.809746,1000,1361.459206
284.34973,1000,1364.215689
17.293304,433,1365.199245
482.75412,1000,1367.958812
366.8942,1000,1373.929906
18.467577,1000,1378.203897
-32.38414,1000,1379.335357
204.14563,650,1380.731874
258.3019,1000,1453.360545
-39.999798,1000,1458.563723
298.78717,1000,1464.484977
465.51465,1000,1467.124598
308.63483,1000,1468.0582
251.9118,1000,1470.65272
748.4882,1000,1476.280118
293.12552,1000,1480.371706
431.0073,1000,1481.460637
714.1282,1000,1482.804331
221.4249,1000,1505.153214
861.54254,1000,1510.241007
669.231,1000,1516.160331
716.4881,1000,1518.828909
344.05292,1000,1519.780066
303.56845,1000,1522.449506
480.75323,1000,1528.320208
284.88788,1000,1532.8792
392.05927,1000,1534.066558
161.28586,1000,1535.557489
129.14365,557,1600.723283
253.89359,1000,1609.375315
0.53565216,537,1612.517038
175.98112,1000,1614.608187
274.55377,1000,1620.693848
177.18889,1000,1623.46256
415.24118,1000,1627.210727
425.59265,1000,1633.210228
283.38348,1000,1638.624614
408.58682,1000,1640.027345
705.55475,1000,1654.3219
240.97958,1000,1663.126313
89.5407,1000,1666.319988
229.26392,1000,1668.424196
225.49889,1000,1674.473121
511.9423,1000,1677.295418
307.4067,1000,1681.017645
852.54865,1000,1687.037696
358.32916,1000,1692.5359
625.70135,1000,1693.964447
293.25458,1000,1758.482134
601.34265,1000,1767.442247
75.38472,1000,1770.698313
218.46695,1000,1772.855879
202.71631,1000,1779.063435
362.77963,1000,1781.854536
487.85538,1000,1785.607103
686.7892,1000,1791.594979
430.0306,1000,1797.024367
583.5796,1000,1798.417054
89.72112,1000,1812.440512
146.70573,1000,1821.235359
461.3993,1000,1824.38231
515.6432,1000,1826.451883
740.008,1000,1832.39307
902.0048,980,1834.04656
648.1567,1000,1838.75654
570.06824,1000,1844.680118
80.390724,1000,1850.1148
641.31696,1000,1851.536087
504.0359,1000,1915.703951
346.9416,1000,1924.498512
383.0733,1000,1927.659887
488.23172,1000,1929.73704
896.20276,1000,1935.756429
801.3178,1000,1937.434049
202.927,1000,1942.174193
431.2462,1000,1948.057379
239.09586,1000,1953.304449
444.3529,1000,1954.659331
814.4765,1000,1968.696695
854.36707,1000,1977.434461
125.25375,1000,1980.584696
697.83636,1000,1982.656355
878.35,1000,1988.610005
832.8716,1000,1990.250966
871.83575,1000,1994.959813
687.6558,1000,2000.862949
405.74222,1000,2006.27215
222.7803,1000,2007.684382
497.52628,1000,2071.859921
481.75616,1000,2080.606102
700.0049,1000,2083.74996
870.8061,1000,2085.832283
323.22028,1000,2091.874901
379.99628,1000,2093.55235
168.84795,1000,2098.315388
813.0489,1000,2104.213845
760.47003,1000,2109.489161
868.9685,1000,2110.85979
182.88968,1000,2125.10893
290.40668,1000,2133.816496
137.22144,1000,2136.921473
186.1903,1000,2138.984787
347.54834,1000,2144.937213
36.88344,1000,2146.572966
236.80489,1000,2151.275799
702.33185,1000,2157.198611
284.90082,1000,2162.583994
879.94354,1000,2163.995481
48.14913,1000,2178.526232
52.344414,1000,2236.851267
476.2058,1000,2240.023535
820.6951,1000,2242.15551
836.1105,1000,2248.299443
696.4351,1000,2249.97544
330.02997,1000,2254.743542
255.76477,1000,2260.742575
437.15814,1000,2266.283452
102.65512,1000,2267.696607
745.07355,1000,2282.092147
301.43307,1000,2290.834758
32.868454,1000,2294.074578
321.39975,1000,2296.244378
843.66895,1000,2302.346972
685.7199,1000,2304.044409
853.07825,1000,2308.846123
716.77747,1000,2314.928628
185.7095,1000,2320.483222
491.06372,1000,2321.935333
345.17844,1000,2336.233933
712.8848,1000,2394.695978
