#{"t_start": 1734491947.5155394, "env_id": "None"}
r,l,t
198.3029,1000,12226.428725
361.7923,1000,12226.428734
-26.909954,1000,12226.428743
268.96344,1000,12226.428752
327.55893,1000,12226.428761
-28.057207,1000,12226.42877
63.120323,1000,12226.428779
157.35228,1000,12226.428787
34.948326,1000,12226.428797
50.820343,1000,12226.428805
249.31317,1000,12226.428814
182.229,1000,12226.428823
65.54197,1000,12226.428832
163.4902,1000,12226.42884
-26.28169,1000,12226.428849
-14.72819,1000,12226.428858
9.375254,1000,12226.428867
109.78945,1000,12226.428876
-33.33307,1000,12226.428884
373.49493,1000,12226.428893
-4.290132,1000,12285.379801
-4.9077454,1000,12368.04765
41.142487,1000,12382.710435
137.18007,1000,12390.064305
8.303663,1000,12414.531314
250.36417,1000,12449.906571
102.573586,1000,12461.866584
27.273964,1000,12545.424767
174.12721,1000,12549.309023
-17.39891,592,12562.969153
87.94372,1000,12568.758438
144.29619,1000,12576.143672
37.747437,651,12596.673131
160.5596,1000,12597.89867
39.45716,1000,12608.623024
332.42966,1000,12613.195858
214.38022,1000,12639.138301
-15.492638,1000,12660.184666
11.843094,762,12660.184717
62.08094,1000,12665.838706
-52.836372,947,12669.373594
103.44954,1000,12673.393842
106.18366,1000,12681.820343
177.58882,1000,12698.362371
161.678,1000,12699.971169
323.72638,1000,12707.968821
-13.183083,1000,12723.28598
-65.58533,898,12723.834431
51.336662,1000,12731.687213
-114.76448,901,12739.152421
48.027035,1000,12750.987119
123.881195,1000,12752.734259
156.96527,1000,12755.013938
70.73255,1000,12755.55941
177.02446,1000,12756.106648
272.09088,1000,12756.652835
-24.199081,943,12762.922133
114.52287,1000,12766.927954
272.3406,1000,12775.986453
60.656998,1000,12777.758129
156.24733,1000,12777.758178
-22.618916,1000,12780.040314
184.72174,1000,12782.854351
-8.496467,1000,12791.408537
54.413116,1000,12796.318242
163.3446,1000,12796.318294
98.529945,1000,12796.318311
59.02272,1000,12796.318326
87.051765,1000,12796.318338
11.111357,1000,12796.318348
-38.837673,1000,12796.318358
-6.4743257,1000,12796.318369
20.439148,1000,12796.318378
206.98889,1000,12796.318388
80.72424,1000,12796.318398
5.2635336,1000,12796.318408
194.69968,1000,12796.318418
299.99753,1000,12796.318428
170.67436,1000,12796.318438
139.86552,1000,12796.318447
135.2941,1000,12796.318457
206.72025,1000,12796.318467
4.762778,1000,12796.318477
155.24399,1000,12796.318487
60.280106,1000,12796.318497
275.00082,1000,12796.318506
110.34414,1000,12796.318516
142.42426,1000,12796.318526
2.7402904,1000,12796.318536
191.36455,1000,12796.318545
130.18648,1000,12796.318555
3.2036858,1000,12796.318564
154.89981,1000,12796.318574
321.63922,1000,12796.318583
182.22891,1000,12796.318593
104.403755,1000,12796.318603
-15.15133,1000,12796.318612
111.65709,1000,12796.318622
40.940987,1000,12796.318631
137.40811,1000,12796.318641
479.54062,1000,12796.318651
28.441303,1000,12796.318661
236.87802,1000,12796.318671
221.18916,1000,12796.31868
340.9699,1000,12796.31869
31.035809,1000,12796.3187
139.05653,1000,12796.318709
22.51716,1000,12796.318719
146.42685,1000,12796.318728
168.55174,1000,12796.318738
196.405,1000,12796.318748
156.94374,1000,12796.318758
127.5648,1000,12796.318767
